Endpoint                                      Methods            Rule                                                                                                                                        
--------------------------------------------  -----------------  --------------------------------------------------------------------------------------------------------------------------------------------
account.access                                POST               /api/v1/account/access                                                                                                                      
account.access-verify                         GET                /api/v1/account/access/verify                                                                                                               
account.create_account                        POST               /api/v1/account/create                                                                                                                      
account.invite_user                           POST               /api/v1/account/invite                                                                                                                      
account.userlist                              GET, POST          /api/v1/account/users                                                                                                                       
account.userresource                          DELETE, GET, PUT   /api/v1/account/me                                                                                                                          
account.usersresourcebyid                     DELETE, GET, PUT   /api/v1/account/users/<string:user_id>                                                                                                      
analysis.get_query_result_analysis            GET                /api/v1/manager/<string:team_id>/analysis/query                                                                                             
analysis.get_task_analysis                    GET                /api/v1/manager/<string:team_id>/analysis/tasks                                                                                             
auth.login                                    POST               /api/v1/auth/login                                                                                                                          
auth.logout                                   POST               /api/v1/auth/logout                                                                                                                         
auth.refresh_token                            POST               /api/v1/auth/token/refresh                                                                                                                  
auth.revoke_access_token                      POST               /api/v1/auth/revoke_access_token                                                                                                            
auth.revoke_refresh_token                     POST               /api/v1/auth/revoke_refresh_token                                                                                                           
auth.verify_token                             POST               /api/v1/auth/verify                                                                                                                         
base.get                                      GET, POST          /                                                                                                                                           
base.unsubscribe                              GET, POST          /unsubscribe                                                                                                                                
config.configuration                          POST, PUT          /api/v1/config                                                                                                                              
config.configuration                          POST, PUT          /api/config                                                                                                                                 
distributed_read.distributed_read             POST, PUT          /api/v1/distributed/read                                                                                                                    
distributed_read.distributed_read             POST, PUT          /api/distributed/read                                                                                                                       
distributed_write.distributed_write           POST, PUT          /api/v1/distributed/write                                                                                                                   
distributed_write.distributed_write           POST, PUT          /api/distributed/write                                                                                                                      
distributors.add_distributed                  POST               /api/v1/manager/<string:team_id>/queries/distributed/add                                                                                    
distributors.delete_distributed_query_result  DELETE             /api/v1/manager/<string:team_id>/queries/distributed/<string:distributed_id>/results/delete/<string:result_id>                              
distributors.delete_distributor               DELETE             /api/v1/manager/<string:team_id>/queries/distributed/delete/<string:distributed_id>                                                         
distributors.distributed                      GET                /api/v1/manager/<string:team_id>/queries/distributed                                                                                        
distributors.distributed_results              GET                /api/v1/manager/<string:team_id>/queries/distributed/results/<string:distributed_id>/<any(new, pending, complete, failed):status>/<int:page>
distributors.distributed_results              GET                /api/v1/manager/<string:team_id>/queries/distributed/results/<string:distributed_id>/<any(new, pending, complete, failed):status>           
distributors.distributed_results              GET                /api/v1/manager/<string:team_id>/queries/distributed/results/<string:distributed_id>/<int:page>                                             
distributors.distributed_results              GET                /api/v1/manager/<string:team_id>/queries/distributed/results/<string:distributed_id>                                                        
doc                                           GET                /documentation                                                                                                                              
enrollment.enrollment                         POST, PUT          /api/v1/enrollment                                                                                                                          
